facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
16772,0.339432,-0.122778,-0.932583,33.2291,3.83798,19.6754,34.9146,3.30416,20.3592,33.2291,2.4528,19.8578
16773,0.339432,-0.122776,-0.932583,34.9146,2.61158,20.4503,33.2291,2.4528,19.8578,34.9146,3.30416,20.3592
16774,0.339433,-0.122775,-0.932583,29.8582,3.52043,18.4903,31.5437,2.98662,19.1741,29.8582,2.13526,18.6727
16775,0.339432,-0.122777,-0.932583,31.5437,2.29403,19.2652,29.8582,2.13526,18.6727,31.5437,2.98662,19.1741
16776,0.339432,0.122775,-0.932584,24.8019,-2.29403,16.8114,26.4873,-2.4528,17.404,24.8019,-2.82784,16.7412
16777,0.339432,0.122776,-0.932583,26.4873,-3.52043,17.2634,24.8019,-2.82784,16.7412,26.4873,-2.4528,17.404
16778,0.339432,0.122777,-0.932583,28.1728,-2.61158,17.9965,29.8582,-2.77035,18.5891,28.1728,-3.14539,17.9263
16779,0.339432,0.122777,-0.932583,29.8582,-3.83798,18.4485,28.1728,-3.14539,17.9263,29.8582,-2.77035,18.5891
16780,0.339432,0.122777,-0.932583,28.1728,-3.6792,17.856,29.8582,-3.83798,18.4485,28.1728,-4.21302,17.7857
16781,0.339432,0.122777,-0.932583,29.8582,-4.90561,18.308,28.1728,-4.21302,17.7857,29.8582,-3.83798,18.4485
16782,0.339433,0.122777,-0.932583,29.8582,-6.95107e-16,18.9538,31.5437,-0.692587,19.4761,29.8582,-1.38517,18.7714
16783,0.339433,0.122777,-0.932583,31.5437,-1.38517,19.3849,29.8582,-1.38517,18.7714,31.5437,-0.692587,19.4761
16784,0.339433,0.122776,-0.932583,33.2291,-1.38517,19.9984,34.9146,-2.07776,20.5206,33.2291,-2.77035,19.816
16785,0.339432,0.122775,-0.932584,34.9146,-2.77035,20.4294,33.2291,-2.77035,19.816,34.9146,-2.07776,20.5206
16786,0.339433,0.122777,-0.932583,29.8582,-1.38517,18.7714,31.5437,-2.07776,19.2937,29.8582,-2.77035,18.5891
16787,0.339433,0.122777,-0.932583,31.5437,-2.77035,19.2025,29.8582,-2.77035,18.5891,31.5437,-2.07776,19.2937
16788,0.339433,0.359964,-0.869029,24.8019,-6.56698,15.6449,26.4873,-6.87371,16.1761,24.8019,-7.06442,15.4388
16789,0.339432,0.359964,-0.869029,26.4873,-7.86858,15.764,24.8019,-7.06442,15.4388,26.4873,-6.87371,16.1761
16790,0.339433,0.359964,-0.869029,28.1728,-7.18044,16.7074,29.8582,-7.48716,17.2387,28.1728,-7.67787,16.5013
16791,0.339433,0.359965,-0.869029,29.8582,-8.48203,16.8266,28.1728,-7.67787,16.5013,29.8582,-7.48716,17.2387
16792,0.339432,0.359964,-0.869029,28.1728,-8.17531,16.2953,29.8582,-8.48203,16.8266,28.1728,-8.67274,16.0893
16793,0.339432,0.359964,-0.869029,29.8582,-9.4769,16.4145,28.1728,-8.67274,16.0893,29.8582,-8.48203,16.8266
16794,0.339433,0.359964,-0.869029,29.8582,-4.90561,18.308,31.5437,-5.70977,18.6332,29.8582,-6.19638,17.7733
16795,0.339433,0.359963,-0.869029,31.5437,-6.35516,18.3659,29.8582,-6.19638,17.7733,31.5437,-5.70977,18.6332
16796,0.339433,0.359964,-0.869029,33.2291,-6.51393,18.9584,34.9146,-7.31809,19.2836,33.2291,-7.80471,18.4238
